"site","elevation","rep","wt"
"Control East","high",1,0.24
"Control East","high",2,0.46
"Control East","high",3,0.57
"Control East","high",4,0.69
"Control East","high",5,0.44
"Control East","low",1,4.96
"Control East","low",2,4.23
"Control East","low",3,2.05
"Control East","low",4,4.46
"Control East","low",5,1.97
"Control East","mid",1,3.72
"Control East","mid",2,5.3
"Control East","mid",3,2.87
"Control East","mid",4,2.13
"Control East","mid",5,4.11
"Control West","high",1,0.24
"Control West","high",2,0.46
"Control West","high",3,0.57
"Control West","high",4,0.69
"Control West","high",5,0.44
"Control West","low",1,3.15
"Control West","low",2,3.08
"Control West","low",3,3.74
"Control West","low",4,1.56
"Control West","low",5,3.05
"Control West","mid",1,6.44
"Control West","mid",2,4.16
"Control West","mid",3,4.14
"Control West","mid",4,3.76
"Control West","mid",5,2.31
"Forest Cut","high",1,0.34
"Forest Cut","high",2,3.53
"Forest Cut","high",3,5.09
"Forest Cut","high",4,0
"Forest Cut","high",5,0.56
"Forest Cut","low",1,1.8
"Forest Cut","low",2,4.01
"Forest Cut","low",3,3.45
"Forest Cut","low",4,2.51
"Forest Cut","low",5,4
"Forest Cut","mid",1,1.81
"Forest Cut","mid",2,1.58
"Forest Cut","mid",3,2.43
"Forest Cut","mid",4,1.99
"Forest Cut","mid",5,0
